id,date,sales,yhat
FOODS_1_001_CA_1_evaluation,2012-12-31,1,0.9232638200545487
FOODS_1_001_CA_1_evaluation,2013-01-01,0,1.0161501990634323
FOODS_1_001_CA_1_evaluation,2013-01-02,2,0.9810585662959063
FOODS_1_001_CA_1_evaluation,2013-01-03,1,1.0484211503517793
FOODS_1_001_CA_1_evaluation,2013-01-04,1,1.3975802076237884
FOODS_1_001_CA_1_evaluation,2013-01-05,1,1.4441073097500616
FOODS_1_001_CA_1_evaluation,2013-01-06,0,1.4579475576747287
FOODS_1_001_CA_1_evaluation,2013-01-07,0,0.8600183093869015
FOODS_1_001_CA_1_evaluation,2013-01-08,0,0.8237260963252186
FOODS_1_001_CA_1_evaluation,2013-01-09,2,0.7695562336132833
FOODS_1_001_CA_1_evaluation,2013-01-10,1,0.9001263106073133
FOODS_1_001_CA_1_evaluation,2013-01-11,3,1.1362477880826012
FOODS_1_001_CA_1_evaluation,2013-01-12,2,1.3109773578271895
FOODS_1_001_CA_1_evaluation,2013-01-13,1,1.4198100890156593
FOODS_1_001_CA_1_evaluation,2013-01-14,0,0.9018669091913443
FOODS_1_001_CA_1_evaluation,2013-01-15,0,0.8527920084918666
FOODS_1_001_CA_1_evaluation,2013-01-16,0,0.8278674364390851
FOODS_1_001_CA_1_evaluation,2013-01-17,0,0.8197069093583406
FOODS_1_001_CA_1_evaluation,2013-01-18,0,1.0235289414730886
FOODS_1_001_CA_1_evaluation,2013-01-19,0,1.1917431204904279
FOODS_1_001_CA_1_evaluation,2013-01-20,2,1.1826332334111438
FOODS_1_001_CA_1_evaluation,2013-01-21,0,0.9888779133378569
FOODS_1_001_CA_1_evaluation,2013-01-22,2,0.7846063983142713
FOODS_1_001_CA_1_evaluation,2013-01-23,0,0.7940946654887518
FOODS_1_001_CA_1_evaluation,2013-01-24,0,0.7239149400156405
FOODS_1_001_CA_1_evaluation,2013-01-25,0,1.0020986789169997
FOODS_1_001_CA_1_evaluation,2013-01-26,1,1.2541386812762974
FOODS_1_001_CA_1_evaluation,2013-01-27,0,1.145477417322363
FOODS_1_002_CA_1_evaluation,2012-12-31,0,0.6157815233640461
FOODS_1_002_CA_1_evaluation,2013-01-01,0,0.5144394167394546
FOODS_1_002_CA_1_evaluation,2013-01-02,0,0.5521351398932991
FOODS_1_002_CA_1_evaluation,2013-01-03,0,0.3223753956758557
FOODS_1_002_CA_1_evaluation,2013-01-04,0,0.3525412384964589
FOODS_1_002_CA_1_evaluation,2013-01-05,0,0.41376090371652224
FOODS_1_002_CA_1_evaluation,2013-01-06,0,0.40185801809380467
FOODS_1_002_CA_1_evaluation,2013-01-07,2,0.2886608668845902
FOODS_1_002_CA_1_evaluation,2013-01-08,0,0.5982234383241891
FOODS_1_002_CA_1_evaluation,2013-01-09,1,0.5426500321272952
FOODS_1_002_CA_1_evaluation,2013-01-10,1,0.5827129093989909
FOODS_1_002_CA_1_evaluation,2013-01-11,0,0.5958151463790159
FOODS_1_002_CA_1_evaluation,2013-01-12,2,0.6747851181526494
FOODS_1_002_CA_1_evaluation,2013-01-13,0,0.7506048981760715
FOODS_1_002_CA_1_evaluation,2013-01-14,1,0.5702894291641816
FOODS_1_002_CA_1_evaluation,2013-01-15,0,0.6507930590554865
FOODS_1_002_CA_1_evaluation,2013-01-16,0,0.6025028049422991
FOODS_1_002_CA_1_evaluation,2013-01-17,1,0.5315299584924338
FOODS_1_002_CA_1_evaluation,2013-01-18,2,0.5934653007380658
FOODS_1_002_CA_1_evaluation,2013-01-19,0,0.6766604706525613
FOODS_1_002_CA_1_evaluation,2013-01-20,2,0.6916840826992275
