id,lead_time,service_level,sigma,safety_stock,rop
FOODS_1_001_CA_1_evaluation,7,0.95,0.8612621708818203,3.748104138603726,10.993688700903698
FOODS_1_002_CA_1_evaluation,7,0.95,0.730336889611653,3.1783338582323775,7.123368663502772
FOODS_1_003_CA_1_evaluation,7,0.95,1.0891879567535583,4.740008358018921,12.082412095346472
FOODS_1_004_CA_1_evaluation,7,0.95,3.906703670069502,17.00148072113003,67.26363452624015
FOODS_1_005_CA_1_evaluation,7,0.95,2.0722976944804525,9.018377710875836,23.32263523264885
FOODS_1_006_CA_1_evaluation,7,0.95,1.3079168991119698,5.691889076577115,13.07100618025823
FOODS_1_008_CA_1_evaluation,7,0.95,0.5989834043940887,2.6067000883898013,5.167915561910107
FOODS_1_009_CA_1_evaluation,7,0.95,0.8202292061974328,3.5695338612220238,9.136086655118262
FOODS_1_010_CA_1_evaluation,7,0.95,0.5173539599071055,2.2514590606777327,4.3211314225009545
FOODS_1_011_CA_1_evaluation,7,0.95,0.35701450512139643,1.5536820139412353,2.328247204724277
FOODS_1_012_CA_1_evaluation,7,0.95,2.256308627722078,9.819170040724847,36.65952021994658
FOODS_1_013_CA_1_evaluation,7,0.95,0.24700993151409306,1.0749560097783897,3.2953501397708127
FOODS_1_014_CA_1_evaluation,7,0.95,1e-06,4.3518736400162045e-06,0.03277220780806202
FOODS_1_015_CA_1_evaluation,7,0.95,0.8296298270655184,3.6104441753776317,8.331872831577488
FOODS_1_016_CA_1_evaluation,7,0.95,1.3189952710146362,5.740100751234626,14.553290652480506
FOODS_1_017_CA_1_evaluation,7,0.95,1.0804124537851274,4.701818477972722,9.352092462843107
FOODS_1_018_CA_1_evaluation,7,0.95,6.237166776198784,27.143361681724336,114.17843974179797
FOODS_1_019_CA_1_evaluation,7,0.95,5.464926136464135,23.782667997913872,71.11935531417339
FOODS_1_020_CA_1_evaluation,7,0.95,1.0731854055027588,4.670367277057557,13.716528197046749
FOODS_1_021_CA_1_evaluation,7,0.95,1e-06,4.3518736400162045e-06,0.03277220780806202
FOODS_1_022_CA_1_evaluation,7,0.95,1e-06,4.3518736400162045e-06,0.03277220780806202
FOODS_1_023_CA_1_evaluation,7,0.95,2.237471152228704,9.737191727680782,32.22940568670371
FOODS_1_024_CA_1_evaluation,7,0.95,1.092579885390165,4.754769602841385,13.063624685167282
FOODS_1_025_CA_1_evaluation,7,0.95,1.016456794926364,4.423491532055401,9.434034119877182
FOODS_1_026_CA_1_evaluation,7,0.95,0.7140353184211987,3.107391480277792,7.022491356973381
FOODS_1_027_CA_1_evaluation,7,0.95,3.0453278723386035,13.252882092837003,20.528916286711954
FOODS_1_028_CA_1_evaluation,7,0.95,1e-06,4.3518736400162045e-06,0.03277220780806202
FOODS_1_029_CA_1_evaluation,7,0.95,0.7007532516171092,3.049589603868141,5.154101840301305
FOODS_1_030_CA_1_evaluation,7,0.95,1.2000351674166039,5.2224014121727516,8.091484632540444
FOODS_1_031_CA_1_evaluation,7,0.95,1.6880440574883846,7.3461544369697,17.237992064986237
FOODS_1_032_CA_1_evaluation,7,0.95,11.478129859153386,49.95137077073253,133.83764394760354
FOODS_1_033_CA_1_evaluation,7,0.95,0.0010833105047741334,0.0047144304296792,0.2763326018997469
FOODS_1_034_CA_1_evaluation,7,0.95,0.3478514185040274,1.513805418829922,3.268419035402164
FOODS_1_035_CA_1_evaluation,7,0.95,0.386200593199016,1.6806961813014192,2.460873295160869
FOODS_1_036_CA_1_evaluation,7,0.95,2.1134229604436334,9.197349671759659,18.11368076005712
FOODS_1_037_CA_1_evaluation,7,0.95,0.7721760826710508,3.3604127396271197,8.79478539543387
FOODS_1_038_CA_1_evaluation,7,0.95,0.366908526859306,1.5967395463361913,3.8970125784734084
FOODS_1_039_CA_1_evaluation,7,0.95,0.7895424238458948,3.4359888620094514,9.627254777733285
FOODS_1_040_CA_1_evaluation,7,0.95,2.210362123487947,9.61921666009744,28.35670429556989
FOODS_1_041_CA_1_evaluation,7,0.95,1.3696523240905623,5.9605538451966495,15.325632563067265
FOODS_1_042_CA_1_evaluation,7,0.95,1e-06,4.3518736400162045e-06,0.03277220780806202
FOODS_1_043_CA_1_evaluation,7,0.95,3.4002830449126877,14.797602151749564,67.80491445317176
FOODS_1_044_CA_1_evaluation,7,0.95,2.33495827933403,10.16144338637136,36.31951353481173
FOODS_1_045_CA_1_evaluation,7,0.95,3.249158601543479,14.139927670288982,35.794539727114156
FOODS_1_046_CA_1_evaluation,7,0.95,4.831014127924171,21.023963037859073,94.73611039697514
FOODS_1_047_CA_1_evaluation,7,0.95,1.4781717465120072,6.43281665906232,14.254857280084629
FOODS_1_048_CA_1_evaluation,7,0.95,0.7223469162165247,3.143562503629688,5.334094372659193
FOODS_1_049_CA_1_evaluation,7,0.95,2.096867335101927,9.125301682241103,18.744478385410368
FOODS_1_050_CA_1_evaluation,7,0.95,0.6238777339854399,2.7150370651242777,4.692534862015212
FOODS_1_051_CA_1_evaluation,7,0.95,1e-06,4.3518736400162045e-06,0.03277220780806202
FOODS_1_052_CA_1_evaluation,7,0.95,1e-06,4.3518736400162045e-06,0.03277220780806202
FOODS_1_053_CA_1_evaluation,7,0.95,0.9346227406307066,4.0673600683104745,7.567701559958351
FOODS_1_054_CA_1_evaluation,7,0.95,1.8596063440994068,8.092771829693113,18.239936908716793
FOODS_1_055_CA_1_evaluation,7,0.95,1.6723885620462144,7.278023699033526,24.545877717024595
FOODS_1_056_CA_1_evaluation,7,0.95,1e-06,4.3518736400162045e-06,0.03277220780806202
FOODS_1_057_CA_1_evaluation,7,0.95,1e-06,4.3518736400162045e-06,0.03277220780806202
FOODS_1_058_CA_1_evaluation,7,0.95,3.0230285694623635,13.155838344459157,37.06423396689024
FOODS_1_059_CA_1_evaluation,7,0.95,1e-06,4.3518736400162045e-06,0.03277220780806202
FOODS_1_060_CA_1_evaluation,7,0.95,1e-06,4.3518736400162045e-06,0.03277220780806202
FOODS_1_061_CA_1_evaluation,7,0.95,1.8074978762433884,7.8660023620088735,21.54083650153429
FOODS_1_062_CA_1_evaluation,7,0.95,0.0007814524563937036,0.0034007823459056715,0.1718818409286059
FOODS_1_063_CA_1_evaluation,7,0.95,1.0676870856730938,4.64643928392646,12.124216772295604
FOODS_1_064_CA_1_evaluation,7,0.95,1.1394781109260097,4.958864754314362,12.468660445534214
FOODS_1_065_CA_1_evaluation,7,0.95,0.6211672623966414,2.703241435264973,4.337237841443823
FOODS_1_066_CA_1_evaluation,7,0.95,2.983095482363198,12.982054595347828,21.861061355545278
FOODS_1_067_CA_1_evaluation,7,0.95,3.9853944703109527,17.34393314041258,39.01705579394239
FOODS_1_068_CA_1_evaluation,7,0.95,1e-06,4.3518736400162045e-06,0.03277220780806202
FOODS_1_069_CA_1_evaluation,7,0.95,1.1268324900336337,4.903832610091193,9.135260800515852
FOODS_1_070_CA_1_evaluation,7,0.95,1e-06,4.3518736400162045e-06,0.03277220780806202
FOODS_1_071_CA_1_evaluation,7,0.95,0.9120589863714831,3.969165460929956,8.866025096968823
FOODS_1_072_CA_1_evaluation,7,0.95,0.6058588127802994,2.636620996910098,5.418125037455864
FOODS_1_073_CA_1_evaluation,7,0.95,0.7412970103437614,3.2260309187378353,7.0284884238722976
FOODS_1_074_CA_1_evaluation,7,0.95,2.133033111310744,9.282690570394978,27.41752754340437
FOODS_1_075_CA_1_evaluation,7,0.95,1.2463049023965178,5.423761452162375,16.393612686622852
FOODS_1_076_CA_1_evaluation,7,0.95,1.065409176656809,4.636526111724136,8.783171132126153
FOODS_1_077_CA_1_evaluation,7,0.95,0.49772093957821245,2.166018637034521,4.645060730842831
FOODS_1_078_CA_1_evaluation,7,0.95,1e-06,4.3518736400162045e-06,0.03277220780806202
FOODS_1_079_CA_1_evaluation,7,0.95,0.41359041506309024,1.7998932250764235,2.2259157528341493
FOODS_1_080_CA_1_evaluation,7,0.95,1.449413573749657,6.307664725082816,13.401871244553256
FOODS_1_081_CA_1_evaluation,7,0.95,1.7014567247214776,7.404524669943706,13.979048695619994
FOODS_1_082_CA_1_evaluation,7,0.95,1e-06,4.3518736400162045e-06,0.03277220780806202
